,0
56,"3.9 Grüner Veltliner from Austria 🇦🇹 Dry. High acidity. Nice and intense aromas of almond, pecan, lemon and lime. Medium finish. A good white wine."
57,3.9 citrus honey apple minerals grass little bit green light gold in colour white pepper and savory quite clean palate but nothing special..
58,3.8. A surprisingly spicy aroma. Very quick finish with bubbles. Dry and pretty light. Notes of green apple honey and minerals
59,A lovely Gruner that displays more complexity than usual for this varietal Nice match to our leftover lobster and Dungeness crab
60,"Green apple and citrus notes. Slight carbonation. Crisp on the tongue. We enjoyed this with pesto chicken, risotto, and roasted broccoli"
61,"Nice and light one. Aroma: pear, apple, almonds. Taste: very nice and balanced one. Slight sour notes, as well some minor sweet notes."
62,"Very fragrance similar to Chardonnay. Taste with low acidity, grassy (like SBS) with complexity and depth. Excellent first time experience."
63,"Lemon, m aroma, orange blossom, green apple, citrus, pear, peach, cheese, dry, high acid, m body, citrus, blue cheese, m+ finish"
64,"Bright yellow color, intensive floral nose, fruity. Mainly apples and pears in taste. Finish with citruses and light peppery zest."
65,"Lovely herbaceous citrus nose, lemon tang with a fuller more floral back palate. Well balanced acidity. Clean, crisp finish."
66,"Very good example of why I like Wachau veltliner. Intense, crisp, with lime and apples. Fresh and intense acids and good medium finish."
67,"Green apple, mango, white pepper. Fresh, well balanced and elegant . Fruity notes in taste. Good pairing with seafood, fish, chicken."
68,"Really tasty Grüner, drier than expected but happy that it was. Paired perfectly with Wiener Schnitzel and red cabbage. $16 at Berkeley Bowl."
69,"Dry, rich, creamy, herbs, fruit, citrus. Not really an outstanding taste, but the whole is definitely better than the sum of its parts. Love it."
70,"Very typical with its apple and yellow fruits, some pepper and a hint of vegetable notes. The value for this price is outstanding."
71,Takes me back to the days of drinking this style wine outside Vienna. Time to relearn this refreshing white. Paired with mussels
72,Hint of lemon with white pepper. Classic G.V!
73,"Excellent wine. Powerful elegance. Crisp, yet weighty; stone fruit with stoney minerality."
74,"Stony minerality, citrus and a long finish!"
75,"Kerosene, distilled banana and spice, which follows onto the palate with the addition of tangy lime zest and citrus like orange blossom. Drink it at 10-12C! Delicious."
76,"Yellow-green, I saw herbs and lemons, then in the mouth it’s an explosion of acid especially mid-palate, with flint and delicate spice undertones. A beautiful wine"
77,"I LOVE GRUNER. Green pear, key lime, Meyer lemon, ripe peach and an old orange blossom. Slight effervescence and looooooong, balanced finish. A wine geek's nirvana."
78,clear pale lemon. Greenish tinge. Green apple citrus herbaceous on nose. Medium intensity. Nice feel In the mouth acidicity medium high. Clean medium finish
79,Grapefruit overload! Perfect acid disappears off your palate almost right away and makes you reach for the glass again. I'm gonna crush this shit like water all summer.
80,"Pale lemon green, med+ intensity, Peach, wet stone, lemon, biscuit, white pepper, nectarine, acacia. Dry, high acidity, med alcohol, med+ body. Long finish, very good."
81,"On the nose, green apple, citrus and lemon zest. Racy acidity and minerality with hints of white pepper. Medium bodied and good length. Steamboat material!"
82,Nose is crisp green apple. Front is green apple and a lively acidity. Just a hint of butter. The back end is tart with a hint of citrus and more apples. Very nice!
83,"Pleasant yellow color. Apple, peach and grapefruit. A little sparkling and mineral. A hints of honey. A little spicy finish. Very good value for that price."
84,"Very nice, clear GV! Joyfull lemon and white pepper, grass and some tropical fruits. Slight, nice bitter in the medium finish. Very good! 8 euro’s at Spar Damuls"
85,"Well fruity Grüner Veltliner from Wachau Valey, Austria. Pale yellow in color, medium body with notes of passion fruit, pastry, spiciness and good acidity."
86,"Unexpectedly complex. The nose shows citrus, pyrazines, white pepper and some old oak. The palate has an oily viscosity to it and fresh dose of acidity"
87,"Citrus, grapefruit, lemon, green apple, pear, mineral, mid weight. Typical of the variety. Gruner veltliner is to Austria what Riesling is to Germany."
88,"Gooseberry, yellow plum, peach .... Have had similar quality for better price. But if someone forces me to drink this till the end of my life I say ""ok, man"""
89,"Very aromatic with perceptible notes of lime and lemon but also grapefruit and floral. In mouth refreshing acidity and soft, mineral bitterness followed by pleasant citrus notes. Good experience."
90,"3.7/5， gold straw colour with beautiful sweet citrus mango peach and touch of fresh coconut stone and honey . The body is more round less clear and crisp than a SB, good acidity and gentle finish."
91,Very refreshing and light with stone fruit notes. Some minerality wothout any overriding aftertaste. Approachable for even the pickiest of drinkers. Great value and sure to please.
92,"Short notes: great GV, tropical, herbaceous and rich, intense fennel nose, ripe sweet pineapple and grapefruit palate, faint kick of pepper on the back of the throat. Very good!"
93,Vintage 2019 3.8 Green nose with touches of fresh herbs. On the palate the wines is crisp with a high acidity and touches of green apples and peaches. Great value for money.
94,3.8☆ mineral and citric wine. fresh with great acidity and excelent qpr. It was gone in minutes. great for pairings. minerals citrus lemon green apple citrus white pepper stone straw saline
95,"Pale lemon. Green apple, lime, grapefruit, honey, green pepper. High acidity, dry, medium body. Some phenols, some bitter, big attack, spicy. Pairs well with food, even poultry."
96,"Federspiel (less than RS 4 g/L), 12.5% Vol. Well-balanced (low RS, low acidity). Green apple and apple peel, hints of grapefruit, white pepper, hints of fresh cut grass."
97,"floral and tropical fruit bouquet, slightly spicy finish medium-bodied, medium-high acidity, low-medium minerality pineapple, apple, pear, lemon zest, hibiscus, kalamata olive, chili pepper, lychee"
98,"3.8 - Wonderful wine! At the nose stone fruit, pear and a hint of lime. When tasted again, citrus (subtle lemon) white peach and apricot on the finish. All encompassed by a crisp acidity and salt."
99,"Here is a nice summer White that we drank earlier in the afternoon. The 2018 Gruener Veltliner from the famous Austrian Wachau Valley is a light, fresh, spicy wine that will not disappoint."
100,"Fruits from single vineyard Kaiserberg, where Charlemagne set a camp duringhis reign. Nice texture and acidity supplemented with rich floral and yellow stonefruits aromas."
101,"#alittlesipofwine Aromas of vanilla, lemon curd, minerals & orange rind. Dry, high acidity, medium minus alcohol & body. Flavour characteristics of dried apricot, spice, lime & a tart finish. Yum."
102,"Interesting aromas of spice, honeysuckle , lemon and a lovely hint of floral. Reminiscent of a Reisling with a taut slightly effervescent taste. Nice lingering finish. Drink chilled."
103,"Nice aromas from the fruit, Granny Smith apple, pear, herbs, crushed white peppercorns, lemmon. on the palate medium bodied with fleshy fruit, mineral touch, pleasant bitternes 89DSP"
104,"Lime, lemon, peach and a good lick of spicy white pepper. Leaning toward oily texture on the palate, but has enough acidity to balance that. Overall, decent session white with texture! 3.6"
105,"Tried and true GV, inexpensive and always packing a big punch. Fruit forward white with lots of tropical fruit and citrus with tons of minerality and a heavier body, flat out a great food wine. 3.7"
106,For us gooseberry dominates this wine and a bit of freshly cut apple slices plays along. it is fantastic as a cool wine on a hot summer Day sitting on the porch.
107,"Exquisite, Grüner Veltliner with a very bright yellow color. Refreshing wine, very fresh, lively, with intense fruit and mineral acidic character. Aromas of citrus, fruit bright sour, lemon, lemonka, fresh pineapple."
108,"Everything you expect from a great GV. Sharp lemon, green apple and kiwi acidity. Crisp minerality and salinity. Peppery bite finishes it off. Soft background of peach and pear, but they are truly distant to the citrus acidity...which suits me just fine."
109,"Well-known producer, it should be good gruner, but it smells like Riesling, domaine wachau also have Riesling. Maybe this bottle has wrong label. Medium/light acidity, medium body, medium/long aftertaste. Rubber, petroleum, green apple, grass, minerals."
110,"My first Gruner Veltliner, but a great recommendation from my friend Kyle. A lower price point than the Gewurztraminer by the same label, but equally less sweet, more Sauvignon-esque, with nice notes of pear, green apple, and really just a great summer drinker. Will buy again."
111,"Great to start that ultimate dinner that you sometimes need to cook for your girlfriend (or family, or friends, or whatever). Little sparkly spark (wonderland) to get that party started. Smooth, elegant, pleasure! Good value for money (around 11€). Dont drink this while driving!"
112,"Starting with minerality, grapefruit, apple,green ball pepper and opening up into honey, white flesh peach, white flowers and white pepper in the nose, medium plus body, medium plus acidity, minerality, citrus, apple and pear on the palate, medium plus finish. Balanced with nice minerality and decent ageing potential - also good value for money."
113,"My favorite winery in Austria! A lovely place to visit with wonderful people and wonderful wines. Austria is a glorious place with wonderful souls that are proud of their wines and their heritage. This GV presents with yellow-green color and very patient thick, long tears. Nose of herbs, yeast and lemongrass. Opening of green apples, lemon/lime, old sneaker soles and chalk. Light-plus bodied and medium-plus acidity with a bold, earthy and long finish. 😋 Peace and cheers!"
114,"Fresh and very delightful. Citrus, grass, and floral perfume on the nose. Dry, medium light and balanced acidity. Lemon and yellow grapefruit palate on apple and pear with a minerals toned finish. Hints of white pepper and licorice."
115,"Amazingly fresh for a 2017 now. A pretty, petite wine. Light, crystal coloration. Bouquet & flavors of lemons & Cape-gooseberry (ground cherry). Small, compact, & in a lighter style—but delicious. Quite acidic, yet rich. Went both with wiener schnitzel on Day 1 & then with mediterranean chicken skewers on Day 2. Saw some of their vines when touring, but didn’t stop. Should have. Almost a rebuy. 4.0 woofs."
116,"Pale yellow in color, medium plus acid, 12% alcohol beautiful structure. Opens with lemon, pear, honey blossom,limestone, followed by lemon peel, green apple, Bartlett pear, honey, thyme, salty minerals, and finishes with a creamy mouthfeel, balanced acidity, citrus, and herbs. Wonderful on this 100 degree day in central California!"
117,"👀: Pale lemon. 👃🏻: Medium intensity of complex aromas: grass, wax, white peach, pomelo, pear. Youthful. 👅: Dry with medium plus acidity, alcohol and light body. Medium intensity of complex flavours: grass, pepper, lemon, grass and savory. Medium length. Drink now and not suitable for aging."
118,"Excellent Gruner Veltliner! The color is almost water like with shades of green / gold. The nose has the signature wet stone scent and citrus. The acidity is medium, but the wine still has a clean mouthfeel. This one is a pleasure to drink!"
119,"Distinctive nose of apricot and grapemust. Its refreshing palate encompasses a short maracuja attack followed by gradually emerging grapefruit that lingers until the liquid part of the wine entirely evaporates giving ground slowly to grape aromas, presumably stemming from the dry matter content. Mediocre centre surrounded by amazing start and finish. (8.5 pts)"
120,Well....after tasting raw grouper ceviche. ..time has come to taste it cook. ...grüner veltliner premier grape from Austria ..it is the third time I am enjoying this wine the more I do the more I like ....cheers my friends! !!!
121,"Color: Clear straw Smell: Apples, dates, sake, and a bit of the muskiness of a sauternes. Taste: Honeydew melon, minerals, bit of apple, chalk, bit of acid on the end. Good, balanced. My Rating: 90."
122,"Like a Hitler watercolour, this wine lacks a little heart and empathy. It is easy on the palate though. citrus green apple and a touch of lemon matched by crisp acidity does make for an enjoyable wine but just lacking in depth."
123,"91/100. pale straw color. aroma of fresh green apple, apricot, and white peach at cooler temperature. moved to lemon gradually. in palate, spicy notes of pepper & flint minerality were more remarkable than fruity aroma. M-H acidity with refreshing character. medium to light body(12.5%). alcohol was not notable. dry. very high cost-value. pairing with fried chicken was so good. Japanese tonkatsu or ricotta cheese salads were also fine to be paired with. Jamon was not that good."
124,"A plus .5 for being a spicy, white wine, I was not expecting that. Citrus, green apple, for the open with a middle of lemon and then grapefruit, some herbs and spice on the lasting finish. I actually like it! I can see this being a good social wine, a pleasant surprise for your guests. The ever so slight, light green hue should raise a few brows. 12.5% alc. helps keep things friendly. I didn’t chill it and not sure that you need to, someone add to this and let me know for next time."
125,"3.8⭐👌 Very nice light Gruner Veltliner! M body, light almost transparent hay colour. Bouquet full of floral and grass notes, peach, pear, quince. Palate: citrus, green apple, lots of minerals and nice strong acidity. Great choice for pairing with sea food 👍"
126,"Clean clear wine with a green golden core and pronounced narrow watery rim. Nose of tropical citrus lime and peach with undertones of rubber ball. Wine is dry, medium acidity with a robust structure and good length. Smooth finish but must be served chilled. Great with seafood."
127,"100% gruner from Austria. 12.5% alcohol. Very light yellow body with slight fizz. 👃: apple, some petrol (very faint). Develops in the glass and is dominated by wild flowers after a few minutes. 👄: minerals, flowers, apple. Great wine! 3.9"
128,"This has a lovely, slightly oily, medium bodied character, floral white flowers on the nose, a hint of lime, lemon zest, palate is green apple lemon, lime & a hint of elderflower. Long finish. Great value!"
129,"4.0 ⭐️ Very nice Grüner Veltliner. Medium yellow in glass. The nose is attractive and flowery with hints of water lily, lime, jasmine, alpine meadow, green pepper, frost. Light bodied, dry, high acidity, a bit oily texture. The taste is light and refreshing with hints of green pepper, lime, sage, thyme, lemon. The aftertaste is sour with a herbal note. Overall, a classic Grüner Veltliner - light, undemanding, with some vegetable notes, and suitable for a great variety of dishes."
130,"Appearance: lemon-green, clear, medium intens. Nose: youthfull, medium intens, clean condition. Aromas of green apple, quince, elderflower, peach, lemon. Palate: dry, medium intens, medium+ acidity, medium - body, medium alcohol, medium finish of gooseberry. Added aromas to nose of white pepper, Pear, biscuit (sur lie) and grapefruit. Assessment: very good wine, drink now, no potential for aging."
131,"A grüner that grows on me. Lots and lots of white pepper, followed by pear, orange and stone. Lovely spice and lots of fresh fruit. Lots of power yet fresh and vibrant. Loong salty and appely finish. Brilliant! 92p"
132,"1st Grüner. Definitely not my last. Lovely crisp fruit like green apple on the nose followed by honeysuckle and hay. Palate is complex with flavors of pear, flint, grass, and key lime pie. 12.5 ABV is perfect of Apps. 👍"
133,"Pale straw color. On the nose: Yellow apple, lime, crushed rock, asparagus, and white pepper. On the palate: lime, slate. Quick finish. Mouth watering acidity. Would pair well with sesame chicken or fried flounder."
134,"The perk of being in Vienna on a Monday night for work: enjoying a top Grüner with a stunning view of the cathedral. Domaine Wachau has a deservedly strong reputation (I enjoyed their Riesling earlier this year). Federspiel’ relates to a lighter style of GV, lower in residual sugar and acidity than other comparable wines. This wine had a lovely herbaceous nose with hints of green apple peel. On the palate, there was restrained delicacy and a certain richness with Galia melon lingering at the end. 3.7"
135,"Grüner Vetliner isnt something you come across often in Australia. I guess you could think of an dry Riesling cross crisp sauv blanc. I had this with some big aussie tiger prawns and it was a magical pairing. Very crisp, slight tingle on a short to medium length finish. Very subtle spice, zesty citrusy blend and a tiny hint of honey."
136,"Pale straw/yellow colour, watery. Strong minerality on the nose, citrus and white flesh fruit, and a herbal/leafy hint. Good intensity, quite pleasant. The palate is nice and juicy, the citrus and the pronounced acidity give a beautiful freshness but there is a richer scent perhaps of white peach. The finish is lingering and it delivers soft spices, such as nutmeg, anise, cardamom. A slightly off dry, med body with an intriguing complexity. 4-"
137,"Very nice. Clear, slightly green colour. White melon and nectarine on the nose. Very crisp and fruity palate with white melon and and quite pronounced white peppar. Long finish. My kinda wine. Half a star for price"
138,"First Austrian white for me, & first Gruner. Smells of blossom, ripe stone fruit, honey, and subtle spice. I expected some slight sweetness based off the aroma, but its bone dry with flavours of citrus, apricots, & some spiciness. Mid acid, mid alcohol and mid body. Bin clearance @ $16. 3.9"
139,"Federspiel designates this as being the middle of 3 qualitative tiers based on natural alcohol strength (11.5% - 12.5%). A year of late harvest with botrytis evident, though this wine avoids any sense of heaviness or hot Alc. Notes of green apple, cut clover, white asparagus (not as pungent), fresh creamy almond, wet stone -and saline fresh mineral lift. Interesting musk notes. Medium bodied, nice weight and if anything just a touch short on the finish. Screwcap 12.5%. Good with a lamb korma."
140,"My kind of white, very drinkable, balanced, delicious, subtle, and elegant. On the nose: lemon curd, lemon skins, pineapple juice, hint of saline/minerality, hints of green vegetables, white peppers, marzepan. Slightly bitter lemon skins, then perfect acidity, key lime pie, minerality, ending with white pepper. Subtlety and elegance you expect from this region."
141,"Finally trying a Gruner Veltliner, and we’re quite pleased! Dry and crisp with ripe apple up front and fair acidity and minerality towards the finish. Lime notes seem to drive the acidity, but they’re not as pronounced as in Sauv Blancs, and the Gruner instead has floral and light herbal elements to round out the flavor. Nice on its own and great with Julia’s chicken tikka masala and naan. Not sure how this compares to its peers, but it offers a great first impression of the varietal. 12.5% abv. 2.9.18"
142,"Straw wine growing rapidly addictive, mineral bouquet with dominant notes of gooseberry, herbs and white pepper. in the nose and on the palate can feel a little honey sweets - and I think that's why this is so Grüner Veltliner balanced."
143,"Light yellow color. Granny Smith apple, kiwi, gooseberry with peach emerging with airing. Hint of jasmine. Apple and citrus to the taste with and almost ash like finish. Exhibited a refined complexity and was great value for money. Went well with a Reblochon cheese. Might go well with fish or salad."
144,"3.8⭐ Floral, spicy, minerality, peach and pear - what a nose Light grapefruit, flint and spice, light medium acidic finish. Beautiful grape, wonderful wine. We need to find more of the style to try. Happy long weekend all."
145,"Appearance: Intense lemon fading out to transparency. Nose: This bouquet continued to develop complexity after every glass! Almonds and dried apricots at the forefront followed by the perfume of frangipani. As the wine opened up slightly aged characters of toasted oak, slight kerosene and limestone began to emerge. Palate: Grapefruit zest and pineapple kick this palate off with white pepper tingling the tongue throughout beautiful length and an almost volcanic acidity."
146,"Classy Gruner veltliner from Wachau. Shiny pale gold on eye. Aromas of cut grass, lemon, yellow plum, melon, peach, honeysuckle, honey and white flowers. Elegant and well ballanced on the palate, great acidity and minerality. Pleasent long lasting finish. My score is 4.1"
147,"Solid Austrian white! Excellent with bream and caper dish. - visually- pale yellow - nose- some floral elements, honey and citrus, green apple and pear. - palate- good tang of acidity, minerals and good balanced richness."
148,"Medium golden yellow colour. Bouquet of passion fruit, melon, Granny Smith apple, and slight hint of organic solvent. Dry and somewhat buttery palate of melon, golden delicious apple, and lemon with high minerality and medium high acidity. Long finish of tropical fruit followed by apricot and tart notes of citrus. Medium bodied with negligible tannins. Moderate price and good value."
149,"3.9 Pale lemon-green color. The wine is youthful. A little restrained on the nose but opens up on the palate. Flavours of lemon, nectarine, green bell pepper, white pepper, wet stone, grass. High acidity, textural wine with med body and a med+ finish"
150,"Clear and medium intense golden yellow. On the nose, lemon, apples, yellow plum and some herbals, completed by green pear and melon as well as white pepper. The body is of medium plus volume and the acidity is good integrated. The wine is off-dry. Well-made GV for every day. (85 P)"
151,"4.0 Serious grüner converts since our Danube tour, this brings all the memories of sunny Wachau Valley flooding back. Quintessential grüner... zesty nose, slightly creamy on the palate, acid in control and freshness. Yum."
152,"WSET 3, week 4 Pale lemon. M. intensity. Lemon, green apple, yellow grapefruit, green pear, touch of peach, honeysuckle, wet stone. Youthful. Dry, h. acidity, m. alc, m. body. M. intensity. Slightly waxy mouthfeel w. good minerality. A little creamy too (lees?). Lacks typical varietal character of wh. pepper unfortunately. M(+) finish. Drink now. 3.5 12.5% alc, screwcap."
153,"Food friendly and similar to some Greek wines I have had. Calcareous earth scents and slight honeydew on the nose. Good acidity with a viscous mouth feel and flavors of persimmon, cantaloupe and a residual lemon mouth pucker."
154,"Federspiel is the middle grade of the Wachau classification system, above Steinfeder and below Smaragd. This example from the excellent Domane Wachau is a typical 12.5% ABV. Pale lemon-green. Medium intensity nose, quite ripe, herbaceous and citrus. Grapefruit, lemon, orange, green capsicum, bayleaf, apricot. The palate is dry and mineral, green and herbaceous. Lemon and orange fruit, white pepper spice. No MLF, with a medium finish and high acidity. Tasty, well-priced GruVe."
155,"3,4🌟 This pleasant Grüner Veltliner has aromas of pear, green apple and a herbal note. Palate is light, dry, sour and clean with green pear, zesty lemon, lots of crispy acidity and a spicy herbal note. Nicely balanced with a pleasant finish."
156,"Decent entry level GV. Would make for a nice drop on a hot day given the potent acidity. Palate is moderately clean with good fruit expression. Mostly neutral fruit along with some tangy citrus with just a hint of petrol, which could’ve confuse me for a Riesling on the right day. Not a bad drop."
157,"Pale straw colour with a green hue. Youthful and fresh nose with grassy, floral and herbal notes. Fresh apple and pear on the palate, medium weight with a youthful acidity, and a peppery and herbal finish, fresh and digest."
158,"69/100 good Floral as lilly flower, lemon blossom, lemon, green apple quite simple Med minus body High acidity Med alcohol Med intensity Med finish The wine has nice parfume of a bouquet of flower but nothing muvh more lacking of complexity. Concentration and finish is on average. Good wine but I expected something more"
159,This is an intriguing wine. It starts out mildly sweet and then goes savory with minerality. I bought this at a tasting because it made me pay attention and think. It is relatively light; I had it alongside cheese and crackers last night and with chicken tortellini soup tonight. Both worked just fine. Tomorrow maybe with salad? Definitely a buy again.
160,My introduction to the Grüner Veltliner. Green apple with a hint of ripe fruit and spices. Very well balanced.
161,Nice wine. Light spice and mineral. Pear and tart with lemon and citrus. A little grass and creamy cheese.
162,"Tart and complex, very refreshing. Nice balance of fruit and vegetal flavors, hint of mortality and good acidity."
163,Very well balanced with minor acidity (from the Veltliner perspective). Quite usual and not suprising but ok.
164,Really a good consistent style in this GV giving you very good value for money. Fruity and elegant.
165,"Pineapple, bamboo, a hint of buttery on nose. Spice. Like a oaked Chardonnay but less buttery. Elegant."
166,"Nose of lemon, wet stone, pear and grapefruit. Flavors of agave/honey, apple, wet stone and lemon. Long citrus finish."
167,"Very crispy and dry but full wine, some green grass, nose of fresh hay and topped up by honey and fresh green fruit."
168,A white wine that you can enjoy even if not chilled...aromatic. Grüner weltliner is always a winner!
169,"3.8 Nice wine for this price, mineral and fresh with good acidity. Aromas of green apple, lime, herbs, apricot."
170,"Clear see-through color. Hint of flowers, citrus fruits. A bit sour, with a very good smooth fresh flowery aftertaste."
171,Sweet a first but cut with acidic minerality. Lots of notes to this wine and overall it is balanced
172,"Although I prefer red over white, this Grüner Feltliner really hits the spot. Beautiful color, fresh nose and short finish."
173,"Very fruity, green apple, pear, apricot, Citrus, high acidity and tartness, dandelion and some minerality"
174,Really nice dry drop. Muted hints of fruit without anything standing out but that is the variety. Really easy drinking.
175,Grassy nose green yellow in colour a rich fruity vegetable taste giving a good mouthfeel. Good with food.
176,"Crisply acidic, tastes of lime and pear, spicy aroma. Flinty mineral notes. Very refreshing. Well balanced."
177,"A very good GV for light lunch :))) very drinkable wine , light elegant and was very good pairing with seafood pasta."
178,"Green apple very nice citrus nose, dry light citrus taste with short almond finish, proper veltliner."
179,Pale straw. Crisp and clean. Green apple on the nose. Strong minerality. Green apple with a tart finish.
180,"This was fabulous with the German fest dinner onboard the Viking Ve! Crisp, smooth and wonderful with food!"
181,Great every day wine. Quite floral at first but a lovely acidic and dry finish. Great with white meats!
182,Aug.2015-Nose is applesauce and slight cinnamon. Palate is golden delicious apple with crisp lemon finish.
183,"A nice dry Grüner, a really nice mineral, and white clay hit. Lemon zest and just a hint of floral finish out. Refreshing."
184,crisp and zesty but lacking some of the fruit flavor that i was hoping for. still #TeamGruner tho don’t trip!
185,"A full bodied ripe version, with stone fruit, ripe apple, and persistent acidity. Apple flavor lasts into the finish."
186,"Stunning! Minerals, sweet ripe yellow apples, nice acidity which makes that special spark on the tongue."
187,"Beautifully light yet crisp with tangerines and peach on the nose. Apple, pear and gooseberries enlighten the palate."
188,"3.5 stars An acid explosion with a cream finish. The only Gruner Veltliner that my wine store offers (and my first). I would like to explore others, but this was a decent introduction. I won't say that it'll replace my chardonnay or my viognier. Something about the shape of the bottle is oddly alluring, though. I found the same to be with my Alexander Valley Sangiovese Rose."
189,"3.7 Hallo from Austria with this appetizer. Peach, pear, apple, quince, white currant, grapefruit all in fine minerality. A slightly tart finish, otherwise all rest is ok."
190,"Great value Gruner from a great producer! Asian pear, white pepper, minerality and bright acidity with weight to match! Excellent sunshine afternoon wine!"
191,"Nice Grüner. Very dry, easy to drink. Green apple, minerals, honey, grass and citrus. Paired great with pad thai."
