,0
46,"Straw yellow color with a greenish tint. On nose, butter, popcorn, grass and yellow apples. On pallet, crisp, butter, popcorn, nettles, grass, Green apples and lemon/unripe peach. Really fun primary wine for lysnatta evening. Had it with a butterfried perch with grated Green Apple on a Green parsley/butter emulsion. It worked, but the character if the wine might have needed a lot more power to match perfectly ä, like changing the perch with mackerel/herring."
47,"Deep yellow gold colored, rich in flavor SB. Rowan, oak, chokeberries, honey, mint lollipops, berries skins. Medium + acidity. Quince, lemon, bit of peach. Very long bittersour finish. A great choice for SB lovers!"
48,"Light lemon colour. Lemon, white flowers and minerals on the nose. Taste of white flowers, minerals, yellow plums and white peach. Long and dry, yet fruity, finish with hints of white peaches and minerals. Goes well with cheeses, fish or shellfish."
49,"Light golden colour. Black currant leaves, oak, gooseberry, lime, pine and lychee nose. Intense and wonderful palate following the nose. Long, lime, butter and roasted lemon finish. Very nice indeed. I've tasted a few younger versions of this wine from different vintages without seeing a potential for this result after ten years. Impressive. 4.5 stars It's a pop and pour wine only, though. Did not stand up to vacuvining overnight. 4 stars"
50,"On the nose you've got this pear that moves to citrus zest but also a note of Staedtler rubbers. The palate has stone fruit and citrus again, much softer acidity that comes in about halfway through and a subtle but decent finish."
51,"Rich and well balanced, intense on the nose. Oaked, but with great skill! It looks like a wheel that one by one carries up fruit, peach, mango, citrus, honey, toasted notes, hazelnut, butter, stone, aromatic herbs... And then everything returns to the taste, with great balance then between acidity and softness, with a long, long finish. Outstanding 🔝"
52,"Light gold colour. Nose of over-ripe fruits (cooked), peach, pear, apple, apricot, vanilla, butter, oaky. Bold, dry and crispy palate of citrus, melon, and med plus acidity. Good white, good vintage, but it is decreasing. Drink quickly."
53,"A lovely Bordeaux blanc. 100% Sauvignon Blanc. Generous nose, smells gorgeous, ripe nectarine and dried apricot. Developing. Apple, lemon, oak toast, clove and cream. The palate is dry, high acidity, full bodied and oaky with a medium+ finish. Really yummy, 4*+. By the glass, paired with goat’s cheese, at Bar a Vin, Bordeaux."
54,"Great fruit including a few greengauges and a truckload of minerality, slightly spoilt for me with a touch too many squeezes of lemon but still enjoyable."
55,"100% SB. Rich, Full-bodied and buttery, with subtle oak and good acidity in the finish. Don't drink without food."
56,"Ripe! Drink now if you have them. Lovely wine full of yellow fruits, pears and lychee. Still have a balanced acidity."
57,"Wow every SB lover shall taste white Bordeaux on this level. Crispy fruit, perfect acidity and a charming minerality"
58,Yes he can ! A big producer can make a Nice wine. A bordo but with an Almost spanish edge due to the use if wood
59,Matured Sauv. Blanc is always nice experience.
60,"Complex and depths, long finish"
61,Well balanced and full of delightful flavours of apple and pineapple. Very enjoyable
62,"Great aroma, honey and flowers."
63,With Salmon very 👍
64,Pretty good taste at Eva Business Lounge in Taipei
65,100% savignon blanc which is fantastic and easy to drink. Price is right. 2016 reward wine
66,"Fantastic white bdx. Citrus, orange peel, pear and depth. Loved it!"
67,"Melon, pale nice acids balance, enjoying with raisins and watermelon"
68,Good sharp acidity well balanced with smokey oak and excellent length. Great value.
69,"Awesome bargain for a delicious wine with a little age on it... Very smooth, nicely balanced, wonderful nose - nice all around."
70,"A lot of oaky notes, butter, bee wax, nuts, apples, nettles. Good one!"
71,"Preach, butter, citrus. Very good wine."
72,"Well aged, oak, butter, and brioche as well as yellow apples and pear! Delicious!"
73,Salon Bordeaux !!!!! Excellent
74,"Wow, mature Sauvignon blanc is great."
75,"Best white I had. Balanced and exotic, balanced and wild, peach, pineapple, melon but also butter and oak. a journey into the white wine world."
76,"3.8-/5 ⭐️ Very good balance green nettles, asparaguns"
77,oak peach lemon butter
78,"Old ripe white wine but still fresh and still lots of acid and fruit, good wine. 88p"
79,Despite the age it's very fresh and acid. A bit simple but pleasant zesty and green SB. 4-
80,oak citrus butter lemon peach
81,Taste of apricot peach vanilla
82,89 pts. Pale golden with green reflexes. Lots of pink grapefruit lychee and lemon zest. Medium to full body refreshing acidity and long finish
83,Unusual complex white
84,Sauvignon Blanc aged in oak. Tropical fruit flavours. Very unique. BA club wine.
85,Nice gras colored. Some honey to the taste as well as hints of acidity. Not to drink without food!
86,Smoke sweet and smooth
87,oak lemon pineapple Nice company with Swedish kräftskiva!
88,Very good. Crisp and versatile white
89,"Oaky, butter, vanilla, gooseberry, green apples, hints of grass."
90,Wonderful pairing with shrimp scampi!
91,Better than expected very fruity though
92,"3.6 ProWein 2018, Düsseldorf, Germany, 18-20 March. Evening of Crus Classés de Graves. Medium intensive aroma of green pepper and sea stones, vanilla and wood, ice white fruits worth seeds. Dry, high acidity, full body, oily taste, straight, mineral, not easy drinkable, a bit stubborn and demands more time for opening its best sides, greenery bitterness, stays long at the end."
93,"Typical SB notes and full in character, elderflower, currant bush, nettles, gooseberry. Oak characters. Some bread. In mouth large body, oily. A little burnt."
94,"Aromas of sauerkraut and white melon. On the palate it is still very young, actually closed. Somewhat watery, too. Its herbal finish makes it food friendly."
95,"Fantastic full bodied Bordeaux. Green pepper, butter, citrus and a hint of mango and pineapple . Well balanced. Extremely complex and delicious. Very long finish."
96,"Old world new SauvBlanc style. One grape no melange, strong oak, still crisp - not the NZ or the Sancerre way, leans more on a fatty ass with a long grapefruity ending."
97,"Pale yellow colour. Black currant leaves, sweet and herbal notes. Active acidity, mineralic and wet stone. Apples, baked apple, vanille. Quitely balanced, however expected nore body"
98,"Fresh, integrated oak, citrus, minerals, can be stored for a long time more. Nice wine."
99,"Interesting but not my thing. Lots of grapefruit that, in my opinion, doesn’t really match to great with the barrel notes of oak and vanilla. Citrus and black currant leaves as expected"
100,"Nearly 100% sauvignon blanc, lemon color; citrus, lemon, grapefruits in a crisp, mineral dominated style. Taste good and can last 5 to 7 years."
101,"3.7 the bottle was bought directly from the chateau cellers. A bit low on acid, but drinks well now. citrus lemon peach minerals"
102,"Black currant leaves, roasted barrels, gooseberries, nettles. Surprisingly fresh acidity given the age. Mediumlong aftertaste. Decent pricetag!"
103,Herbaceous on the nose. Fruit follow through on n the palate. Apricot and stone fruit on the palate well balanced acidity.
104,"100% Sauvignon Blanc? Probably, clear black currant leaf, grass, but also a slight oxidised feel, bone dry. 3.7⭐️ Drink 2021-2025"
105,Sauvignon blanc no mistake. Very strong straw tinge to the wine. Not everybody’s cup of tea but I liked it well enough with seafood!
106,"The clean style from SB and the oak, reveals that we are in BX. 3 1/2 Star since I had expected a bit more from this Chateau and vintage."
107,"20 year’s old Pessac-Léognan from André Lurton. Amber colour. Yellow apples, dried fruits notes. A bit over the hill but still a good wine."
108,butter vanilla lemon lime lemon zest grapefruit citrus zest orange peel peach pear melon apple apricot gooseberry grass minerals pineapple
109,17Dec20: Bordeaux. Light Sauvignon Blanc without the grass n green of the new world. Medium acidity citrus n fresh. Good with fruits du Mer
110,"That is a very rich, beautiful Bordeaux. Multi layered but needs to be drunk young because almost feels on the way back. Beautiful!"
111,"Medium to deep gold developing in the glass towards amber 👀 Notes of cream, butter, butterscotch caramel, vanilla, ripe white peaches and apricots, honeydew melon and honey 👃 Medium+ body, low+ acidity, high viscosity and a looong finish 🎯 A superbly aged white Bordeaux - cheers! 👌"
112,A typical Pessac Léognan good balance can be stored many years
113,Yellow in color. Oxidized and bitter. Very particular taste. Reminded me of the Reyneke reserve white. Very good!
114,Earthy feel... Reminds me of a Barolo
115,"Lovely and vibrant Sauvignon Blanc from Bordeaux, no adjective oaky aromas, what is not so usual in this region. Some green notes and herbs, white currants, even gooseberries, a bit melon and passionfruits. Quite light and vibrant acidity. Very enjoyable wine."
116,"True to style Semillion white Bdx. While mature and starting to show some interesting wet gravel like notes, we have lots of freshness, bright peach fruit, penetration and length."
117,When did you last taste mature white bordeaux ? Very delicate nose with just a touch of raspberry. Elegant and m oderate fill on the mouth. Nive aftertaste. Great with medium fat fish.
118,vanilla oak pear lemon. great for value. best bordeaux sauvignon blanc i have ever tasted. great aroma with long lasting bouquet. totally loved with sashimi sushi dish.
119,"Fruity with a good bouquet dry, nice finish a great luncheon wine. purchased at total wine you Dina Minnesota March 28 20 15th around $16 per bottle. I like the app"
120,"Citrus, poire, white floral in nose and in palate citrus, oak, vanille, bakery, bread, biscuit. Good complexity fruity caracter, Can drink and can age 4,5 years maximum"
121,"Bright, creamy, acidic, very long finish. Very good!"
122,"Crisp, minerally fresh and easy to pick out the citrus. Also peach, butter and oak. Nice."
123,Fat and wonderfully!
124,"Green apple, citrus, grapefruit. High and fresh acidity and salty in finish."
125,Very solid for price
126,SB with age that still is fresh. Just a bit to much oak to be balanced for me.
127,Full body like a russian bellydancer
128,"Nectarines, stone fruits, full bodied"
129,oak butter citrus lemon vanilla apple grapefruit minerals pineapple grass apricot lime
130,Very good as well but maybe we should wait a few more years...
131,Slightly too acidic but otherwise a very nice white. Body and punch but without becoming a brawler.
132,"Backlog rating, just score."
133,Oak nutty soft nice well balanced
134,Good average price quality. Light and easy to drink
135,"One of the nicest sauvignons I've ever had. Loads of complexity, fruit, minerality"
136,"Fantastic, superb structure and crisp edge. The white of the evening"
137,Very fine and full taste indeed. Lots of lemon with some chalk underneath. Strongly recommended.
138,"Drinking up a wilting Bordeaux Blanc before it becomes completely faded. Fully developed. Caramel, toast, mushroom, thyme, baked apple. Savoury and subtly bitter aftertaste. M- length. Having said, this one surely offers a joy of drinking aged wines."
139,"Presented at the beginning of a 2016 presentation of Bordeaux, given blind guessed 2010 vintage, warm feeling. Dark golden in color. Floral notes with scents of oak and butter on the nose. Oak and butter clearly present on the palate as well. Falls a bit through, my rating is 3.5"
140,"At a friend's dinner this was served. I feel guilty for the 3* star rating but just couldn't bring myself to like it. Undeniably a good wine though. 100% SB, fermented and aged for 10m on the lees in oak. Short notes due to chatting. Grass, hay, herbaceous, toast minerals and flint. Lime, green apple, gooseberry. Still high in acidity but possibly past peak, good complexity."
141,"3.6 — Lovely oxidative notes with a powerful, young and lively acidity hit. This has been aged properly and is nice to drink now. Would make a lovely pair to a caramelized pork chop or aged comte cheese. C: Deep gold N: Rusty apple, honey, rowan, parsnip, apricot. P: Yellow apple, croissants, more apricot, orange peel. Complex Med- body, high acidity, long finish. Big thanks for Ernestas for introducing this GCC P-L. Your effort is valued 🙏🏻, this will be harder than breaking my ice with Rioja 🤣."
142,"3.3 - white. I struggled with this wine. Very pale with a bit of a green tinge. Grass, unripe melon. Dry, but mellow. This wine feels and tastes like water at the tip of your tongue, then it picks up and shows flavours of wood and earth, but then it just disappears at the back."
143,Light yellow colour with green tint. Kiwi and asparges on the taste. Fresh taste. But I'm just not that into dry white Bordeaux.
144,minerals melon peach pear lime citrus apple lemon zest oak w/ 자영 서
145,Fin citrussmak! God smak. Doften av persika finns peach citrus butter
146,"3,5 of 5 or 85-89 (Mycket bra, ett vin med speciella kvaliteter / Very good, a wine with special qualities)."
147,"Needs air, at least for one hour. Not perfect with grilled duck breast, probably better with grilled salmon."
148,A classic SB implementation from Bordeaux. Fresh with green grass and gooseberries. Rich oaky mouthfeel.
149,"Nice and elegant with pinneaple, grapefruit and green apple notes. Silky, well structured and citrus finish."
150,"Great white from Pessac-Leognan, nose of honey, butter and hints of vanilla. Perfect on a hot summer day 🇫🇷"
151,Great Pessac with now 12 years of age. Don’t taste too cold. This wine has earned the right to the perfect tasting temperature. Hints of honey and grapefruit. Very rewarding and good value. Tasted in Hong Kong at Tin Lung Heen at the Ritz Carlton. Goes really well with Chinese food becaise it has depth. Really enjoyed.
152,Refreshing Bordeaux blanc that has some great citrus notes and an orange peel finish. It’s for a lovely buttery nose with a hint of dill herbs that I’m thinking would be a great accompaniment with some seafood
153,"Kokos neus en licht in de mond. Rijp, tropisch fruit in de neus. In de mond totaal anders; iets meer zuur, fris en een erg droge afdronk"
154,good floral notes. Nice drinking
155,"Dry, white flowers. peach, petroleum, acid shy. Low oak."
156,"Super crispy sauvignon blanc. Grass, gooseberry, green apples. Will last for another 10 years easy."
157,"Dry, citys, Apple,. Smells apricot"
158,"Smokey, medium dense. Dry aftertaste."
159,"Bon, fruité intense ."
160,Unfortunately bottle passed its life.
161,ok but still too young. body not strong enough.
162,"Savoury, mineral taste, smoky. Has some stone fruit notes."
163,"Citrusy & mineral nose, medium palate, good length with balanced acidity. Crisp & refreshing!"
164,Very aromatic with high acidity. Black current and barrel
165,Quite full-bodied. Mineral suported by a rich texture. Subtle acidity
166,Smells like Sancerre floral and tropical but tastes more like butter
167,"Used it for a cheese plate, not the best match... The wine for other use cases, great!"
168,Let it breathe longer than you think
169,"This is a pleasant Boudreaux white, sweet"
170,Excellent oak and vanilla. Slight bite. Nicely balanced.
171,Loads of complexity! Petrol and smoky fire.
172,"Butter, butter, oak, lime, peach. Had with hvite fish and butter sauce - good wine!"
173,Taste of green pears and honey. Dry and really good taste.
174,Better to drink before it reaches 8 years. Special moments require special wines. This is one of them.
175,"Currently at 14.99 in local whole foods. Bought to accompany steak and I thought it was a good, classy wine for this price"
176,"A rich, round buttery aromas together with apricot, light touch of honey with medium acidity. Needs decanting"
177,"Was suprised by this white Bordeaux. The area pessac leognan with gravel and stone soil makes for fresh citrus, lemon grapefruit characteristics. This particular wine reminded me a little of home (new Zealand) with crisp acidity. Also some savoury notes on palate and nose - maybe the age..."
178,"Light blonde Color. Faint floral notes, slightly off balanced, splash of acidity with some fruit notes and some herbaceous and oaky hints. Med finish, decent but not a refreshing and complex wine which is what I expected for this classe."
179,this was pure poetry. you should not seek for tasting notes or other impressions you just have to meet this 30 year old Bordeaux Blanc. one of the reasons for which Bordeaux is the epicenter of the wine world is hidden in this bottle. spectacular experience. chapeau!
180,"Quite rich and full, nettles and smoky barrels. Good structure, not very exciting but rather enjoyable. A tangible bitterness brings down the mark a little."
181,"Amazing wine, still fresh and full of aromas also with his 4 years."
182,The perfect combination of medium body
183,"Elegant white with a gentle exotic fruit note, first thing in mind was a soft elder note. Refreshing mineralic"
184,Very nice and balanced
185,"Smooth, dried fruits and oak note. Perfect fit with steak."
186,"Really interessting. Fruity, woody but very special"
187,"Spicy, heavy and interesting"
188,"Rich, spicy and a rare bouquet for white wines, even graves."
189,"Smooth, with a sour hint"
190,"Mellow, subtle citrus fruits, ageing paid a dividend!"
191,"Fresh, yet oaky in the finishing"
192,Fruity and balanced
193,Spicy and fruity
194,Fruity and easy drinking with nice end acidity.
195,Kvetch racy and nice spice with black currant plum notes with juniper earthy finish
196,Sweet although crisp after finish
197,"Fresh and beautiful, love it!"
198,"Les editeurs, paris. Excellent."
199,"Cafe de marche, Rue Cler. Right before our Siene river cruise"
200,"Structured, oaky, robust. Vanilla and buttery scents. Would go nicely with a rotisserie chicken."
201,Bold. Dry. Fruity. Good.
202,Was lekker. Ietwat apart in begin.
203,Notes de fuits noirs (cassis)
204,"Oak and yellow fruits. Pineapple, and apricot. Pretty long."
205,"Sauvignon Blanc: brings tropical fruits and citrus (aged on oak), 2017 Geur: veel kokos (top!), ananas Smaak: lange elegante krachtige afdronk, hinten van kokos, vol van smaak (rond) en niet zoet. Top"
206,"This 100% Sauvignon Blanc shows that this grape is much underestimated for aging. It is more than 20 years for this wine and it is very livelly. Aromas are fresh with gooseberry, blackcurrant leaves and some peaches. Taste is rich, zesty and livelly with high accidity and vanilla notes. I am sure it can go for 20 years more easily, of stored properly."
207,"93-95 points. Vintage 2020 en primeur opened in 2021. 👀The color is pale golden green. 👃The nose is offering white peach, oranges, and flowers. 👅The palate is offering citrus, peach, apricot, mango, apples, lemon and minerality. An initial sweetness, that highlights the delicate fruit and medium plus body. A medium plus acid that lingers on your palate. Long aftertaste. The nose is not as expressive as expected but the palate is classic and elegant. Beautiful wine. Long aging potential."
208,Love IT! But not for mussels...
209,Too much candied tropical fruit for me.
210,"Weak, tasteless, numb and overpriced"
211,Typical S. Blanc with scallop...
212,"Fermenter this, mofoooos"
213,Mooi
214,Helaas over de top
215,"4.1 вот сейчас оно на пике - сливочно-ванильное, скошенная трава, лимонные цукаты, все очень красиво и интересно"
216,"Dried fruit, apricot, sour cabbage, mineral, nuts. Elegant, old white Bordeaux. Well balanced and extremely pleasant."
217,Drank it with an 8 course meal and good company so might be biased but truly a lovely wine
218,"Very Light wine, ideal for lunch."
219,Underwhelming... was okay for the fish course but rather flat.....
220,"Really nicely aged white Bordeaux. Nose, fruity, pears, rich. Taste, well balanced fruity with hint of acidity, dry. Pears with hint of oak. Really delivered. Ate halibut with beetroots, potatoes and horseradish, a perfect match!"
221,Such a freshness for a Bordeaux dry white after 12 years ageing. A really good suprise
222,Fantastic Rich honeyed
223,"Understated and Stark, flint, oak, crisp, not much fruit left, whispers of citrus, good acidity"
224,Pale with high lemon acid
225,"Pale lemon Nose: herbaceous, grass, green pepper, lemon, wet stone, apple Flavour: lemon, lemon peel, grass Medium finish"
226,"Black-current, vanilla, excellent wine. Salmon tartar and this wine were an excellent pairing!"
227,"Great wine, fruity and with nice grapefruit flavors"
228,"Fruity, aromatic, strong for a white winw"
229,Wonderful woody notes
230,Good with pork. Nice fruity taste
231,Awesome aroma with floral finish
232,4.1. Very fresh Bdx Sauvignon.
233,Slick. Fresh. Citrus
234,This is magic. So tasteful and much fruit after 15 years. High acidity and long lasting aftertaste
235,Not worth the $30 price.
236,Very easy to drink. Hints of Apple. Needs about 30-50 mins to fully open
237,"Green Apple , lime, straw. Medium acidity, medium bodied. Good to drink now."
238,Good value for this relatively dry white wine. Subtle fruit flavours overtaken by a short acid after taste.
239,"A little pricier than usual, but recommended by an associate at Total Wine. Real rich with a softish finish."
240,Awesome!! I love this taste of sour and peach. I wanna run take raw fish such as Susi when I try to this Bordeaux.
241,"Le Nez: baked apple, grapefruit minor notes, toast vanilla; taste: baked apple pie with butter crumble on top. Amazing!"
242,"Sweet noise, dry finish. I got a hint of pineapple & light acidity."
243,Good for the price
244,"Fruity and dry but not acid, a fair value (KRW 50,000)"
245,"No assembly here, 100% sauvignon blanc. Very pleasant, complex, fruity. Better drink it fresh."
246,A stunner. Miles more interesting than most sauvignon
247,"Not fruity but interesting, good old vine, exelent dark yellow colour. Long taste and you wich to taste once more to analyse what taste there is. Very good!"
248,"Si je regrette une acidité un peu trop saillante et une finale en dessas, quelle aromatique par contre ! Pomme mûrs, miel, végétal, zeste d'orange, beurre, vanille, citron, abricot, fruits de la passion.... ça c'est typique des Pessac blanc et c'est bien gourmand 😋"
249,"Vintage 2000. Vooral heel spannend hoe een witte Bordeaux na al die jaren is. Of kan zijn. De geur is intrigerend, tegen het lastige aan. In de mond is er echt nog leven. De zuren zijn stevig maar er is ook nog fruit. Vooral een curiositeit."
250,"Too old for me. Smells rubbery, not nice. The taste is strange as well, woody but old. Not a fan at all."
251,Très beau nez sur les agrumes confits . Du gras en bouche avec une belle acidité et de très beaux amers en finale ! Très beau vin
252,One of my best white wines
253,Simply perfect for a sunday roast.
